# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 508K of event 'cycles'
# Event count (approx.): 249210653757
#
# Overhead  Command  Shared Object        Symbol                                        
# ........  .......  ...................  ..............................................
#
     0.09%  server   [kernel.kallsyms]    [k] validate_xmit_skb.isra.95.part.96         
     0.09%  server   [kernel.kallsyms]    [k] bit_waitqueue                             
     0.09%  server   [kernel.kallsyms]    [k] datagram_poll                             
     0.09%  server   [kernel.kallsyms]    [k] mutex_unlock                              
     0.09%  server   libc-2.19.so         [.] 0x0000000000080378                        
     0.09%  server   libc-2.19.so         [.] 0x0000000000082df0                        
     0.09%  server   [kernel.kallsyms]    [k] ___sys_sendmsg                            
     0.09%  server   [kernel.kallsyms]    [k] security_socket_recvmsg                   
     0.09%  server   [kernel.kallsyms]    [k] __sys_recvmsg                             
     0.09%  server   [kernel.kallsyms]    [k] ktime_get_with_offset                     
     0.09%  server   [kernel.kallsyms]    [k] tcp_time_wait                             
     0.09%  server   [kernel.kallsyms]    [k] skb_copy_datagram_iter                    
     0.09%  server   libstdc++.so.6.0.21  [.] 0x00000000000c0040                        
     0.09%  server   [kernel.kallsyms]    [k] task_work_run                             
     0.09%  server   libc-2.19.so         [.] 0x000000000007fd57                        
     0.09%  server   [kernel.kallsyms]    [k] wake_q_add                                
     0.09%  server   [kernel.kallsyms]    [k] __perf_event_task_sched_out               
     0.09%  server   libc-2.19.so         [.] 0x0000000000080388                        
     0.09%  server   [kernel.kallsyms]    [k] __switch_to                               
     0.09%  server   libc-2.19.so         [.] 0x00000000000804ef                        
     0.08%  server   server               [.] 0x00000000000032b6                        
     0.08%  server   libstdc++.so.6.0.21  [.] 0x00000000000625d0                        
     0.08%  server   libc-2.19.so         [.] 0x0000000000160081                        
     0.08%  server   libc-2.19.so         [.] 0x000000000007ff7c                        
     0.08%  server   [kernel.kallsyms]    [k] kfree_skbmem                              
     0.08%  server   libc-2.19.so         [.] 0x0000000000082dfa                        
     0.08%  server   libc-2.19.so         [.] 0x0000000000088bc6                        
     0.08%  server   [kernel.kallsyms]    [k] ip_make_skb                               
     0.08%  server   libc-2.19.so         [.] 0x000000000007e7ef                        
     0.08%  server   libc-2.19.so         [.] 0x00000000000faaba                        
     0.08%  server   [kernel.kallsyms]    [k] tcp_rtt_estimator                         
     0.08%  server   [kernel.kallsyms]    [k] set_next_entity                           
     0.08%  server   libc-2.19.so         [.] 0x0000000000088ac0                        
     0.08%  server   [kernel.kallsyms]    [k] _raw_write_lock_bh                        
     0.08%  server   [kernel.kallsyms]    [k] ip_rcv_finish                             
     0.08%  server   [kernel.kallsyms]    [k] copy_from_iter                            
     0.08%  server   libc-2.19.so         [.] 0x0000000000097ff5                        
     0.08%  server   [kernel.kallsyms]    [k] __cmpxchg_double_slab.isra.47             
     0.08%  server   libc-2.19.so         [.] 0x0000000000097fd0                        
     0.08%  server   libstdc++.so.6.0.21  [.] 0x00000000000c0047                        
     0.08%  server   [kernel.kallsyms]    [k] ip_mc_drop_socket                         
     0.08%  server   libc-2.19.so         [.] 0x000000000007feb4                        
     0.08%  server   [kernel.kallsyms]    [k] sk_reset_timer                            
     0.08%  server   [kernel.kallsyms]    [k] eth_type_trans                            
     0.07%  server   [kernel.kallsyms]    [k] __fsnotify_parent                         
